address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
3435 SW 11th Ave,Portland,OR,97239,523000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3435-SW-11th-Ave-Portland-OR-97239/53936006_zpid/
1804 SW Mount Hood Ln,Portland,OR,97239,319900,NA,NA,NA,NA,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/1804-SW-Mount-Hood-Ln-Portland-OR-97239/53978036_zpid/
3321 SW Kelly Ave,Portland,OR,97239,359000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3321-SW-Kelly-Ave-Portland-OR-97239/53836090_zpid/
0223 SW Whitaker St,Portland,OR,97239,523000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/0223-SW-Whitaker-St-Portland-OR-97239/2092275771_zpid/
223 SW Whitaker St,Portland,OR,97239,523000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/223-SW-Whitaker-St-Portland-OR-97239/53836093_zpid/
4122 SW Corbett Ave # 31,Portland,OR,97239,510000,NA,NA,NA,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/4122-SW-Corbett-Ave-31-Portland-OR-97239/71245004_zpid/
841 SW Gaines St UNIT 209,Portland,OR,97239,734999,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/841-SW-Gaines-St-UNIT-209-Portland-OR-97239/2140630172_zpid/
6042 SW Hood Ave,Portland,OR,97239,459900,NA,NA,NA,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/6042-SW-Hood-Ave-Portland-OR-97239/53929691_zpid/
4990 SW Landing Dr APT 201,Portland,OR,97239,404900,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/4990-SW-Landing-Dr-APT-201-Portland-OR-97239/62963852_zpid/
3601 SW River Pkwy UNIT 2204,Portland,OR,97239,369800,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/3601-SW-River-Pkwy-UNIT-2204-Portland-OR-97239/72095714_zpid/
12 SW Gibbs St,Portland,OR,97239,465000,NA,NA,NA,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/12-SW-Gibbs-St-Portland-OR-97239/53849708_zpid/
5129 SW Corbett Ave,Portland,OR,97239,575000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/5129-SW-Corbett-Ave-Portland-OR-97239/2102141068_zpid/
3900 SW Altadena Ave,Portland,OR,97239,820000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3900-SW-Altadena-Ave-Portland-OR-97239/53861905_zpid/
23 SW Whitaker St,Portland,OR,97239,500000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/23-SW-Whitaker-St-Portland-OR-97239/53836114_zpid/
